name,crunchlink,category,country,state,city,round,date,year,money,
9+,/organization/9-plus-studio,Consulting,USA,CA,Menlo Park,angel,2013-07-11,2013,"2,000,000"
908 Devices,/organization/908-devices,Manufacturing,USA,MA,Boston,A,2012-09-05,2012,"8,100,000"
908 Devices,/organization/908-devices,Manufacturing,USA,MA,Boston,B,2013-08-27,2013,"7,000,000"
99degrees Custom,/organization/99degrees-custom,E-Commerce Platforms,USA,MA,Lawrence,angel,2014-11-07,2014,"400,000"
99designs,/organization/99designs,Design,USA,CA,San Francisco,A,2011-04-28,2011,"35,000,000"
99Gamers,/organization/99gamers,Trading,USA,CA,Mountain View,seed,2014-11-01,2014,"100,000"
9Lenses,/organization/9lenses,Software,USA,VA,Sterling,A,2013-10-29,2013,"1,100,000"
9Lenses,/organization/9lenses,Software,USA,VA,Sterling,A,2013-09-12,2013,"3,000,000"
9Lenses,/organization/9lenses,Software,USA,VA,Sterling,A,2015-02-27,2015,"3,100,000"
9SLIDES,/organization/9slides,Enterprise Software,USA,WA,Redmond,seed,2013-05-30,2013,"500,000"
A Bit Lucky,/organization/a-bit-lucky,Social Games,USA,CA,San Mateo,venture,2011-03-25,2011,"7,712,103"
A Family First Community Services,/organization/a-family-first-community-services,Health and Wellness,USA,GA,Atlanta,venture,2011-11-01,2011,"500,000"
A la Mobile,/organization/a-la-mobile,Mobile,USA,CA,San Ramon,A,2005-07-01,2005,"3,500,000"
A la Mobile,/organization/a-la-mobile,Mobile,USA,CA,San Ramon,B,2007-03-01,2007,"4,050,000"
A-76 Technologies,/organization/a-76-technologies,Chemicals,USA,TX,Houston,A,2015-02-23,2015,"2,500,000"
A-Life Medical,/organization/a-life-medical,Biotechnology,USA,CA,San Diego,venture,2009-06-03,2009,"3,000,000"
A-Vu Media,/organization/a-vu-media,Health and Wellness,USA,MN,Minnetonka,venture,2011-03-07,2011,"250,000"
A.C. Moore,/organization/ac-moore-craft-store,E-Commerce,USA,NJ,Berlin,venture,2009-06-05,2009,"10,000,000"
A.P.Pharma,/organization/a-p-pharma,Biotechnology,USA,CA,Redwood City,venture,2009-11-05,2009,"8,142,817"
A.P.Pharma,/organization/a-p-pharma,Biotechnology,USA,CA,Redwood City,venture,2011-07-11,2011,"24,000,001"
A&G Pharmaceutical,/organization/a-g-pharmaceutical,Biotechnology,USA,MD,Columbia,A,2005-09-08,2005,"2,000,000"
A&G Pharmaceutical,/organization/a-g-pharmaceutical,Biotechnology,USA,MD,Columbia,venture,2010-04-27,2010,"100,002"
A10 Networks,/organization/a10-networks,Security,USA,CA,San Jose,A,2005-01-01,2005,"6,000,000"
A10 Networks,/organization/a10-networks,Security,USA,CA,San Jose,B,2006-11-13,2006,"9,000,000"
A10 Networks,/organization/a10-networks,Security,USA,CA,San Jose,C,2008-07-14,2008,"23,000,000"
A123 Systems,/organization/a123systems,Batteries,USA,MA,Westborough,A,2005-11-01,2005,"32,000,000"
A123 Systems,/organization/a123systems,Batteries,USA,MA,Westborough,B,2006-02-01,2006,"30,000,000"
A123 Systems,/organization/a123systems,Batteries,USA,MA,Westborough,D,2007-10-01,2007,"30,000,000"
A123 Systems,/organization/a123systems,Batteries,USA,MA,Westborough,C,2007-01-01,2007,"40,000,000"
A123 Systems,/organization/a123systems,Batteries,USA,MA,Westborough,E,2009-04-13,2009,"69,000,000"
A123 Systems,/organization/a123systems,Batteries,USA,MA,Westborough,venture,2012-06-07,2012,"50,000,000"
A2Zlogix,/organization/a2zlogix,Content Creators,USA,NJ,Edison,A,2014-07-10,2014,"25,000,000"
Aarden Pharmaceuticals,/organization/aarden-pharmaceuticals,Biotechnology,USA,IN,Indianapolis,seed,2011-01-03,2011,"500,000"
Aardvark,/organization/aardvark,Search,USA,CA,San Francisco,angel,2007-01-01,2007,"750,000"
Aardvark,/organization/aardvark,Search,USA,CA,San Francisco,A,2008-10-01,2008,"5,250,000"
Aastrom Biosciences,/organization/aastrom-biosciences,Biotechnology,USA,MI,Ann Arbor,venture,2012-03-09,2012,"40,000,000"
Abacast,/organization/abacast-inc,Analytics,USA,WA,Vancouver,venture,2010-11-11,2010,"500,000"
Abacus Labs,/organization/abacus-labs,Software,USA,NY,New York,seed,2014-10-29,2014,"3,500,000"
Abakan,/organization/abakan-inc,Clean Technology,USA,FL,Miami,seed,2012-10-19,2012,"787,500"
Abakan,/organization/abakan-inc,Clean Technology,USA,FL,Miami,seed,2012-05-10,2012,"1,306,595"
Abakan,/organization/abakan-inc,Clean Technology,USA,FL,Miami,seed,2013-01-18,2013,"687,700"
Abakan,/organization/abakan-inc,Clean Technology,USA,FL,Miami,venture,2014-04-22,2014,"848,236"
Abakan,/organization/abakan-inc,Clean Technology,USA,FL,Miami,venture,2014-10-08,2014,"427,800"
Abakus,/organization/abakus,Advertising,USA,CA,Emeryville,venture,2013-12-25,2013,"825,000"
Abaris,/organization/abaris,Insurance,USA,PA,Philadelphia,angel,2014-07-24,2014,"450,000"
ABARTA Oil & Gas,/organization/abarta-oil-gas,Oil & Gas,USA,PA,Pittsburgh,venture,2015-01-28,2015,"24,750,000"
Abattis Bioceuticals,/organization/abattis-bioceuticals,Biotechnology,CAN,BC,Vancouver,venture,2010-11-03,2010,"297,265"
Abazab,/organization/abazab,Curated Web,USA,CA,Campbell,venture,2006-05-05,2006,"4,100,000"
Abbey House Media,/organization/abbey-house-media,Bridging Online and Offline,USA,TX,Austin,venture,2009-06-17,2009,"600,000"
AbbeyPost,/organization/abbeypost,E-Commerce,USA,CA,San Mateo,seed,2014-04-06,2014,"225,000"
AbbeyPost,/organization/abbeypost,E-Commerce,USA,CA,San Mateo,seed,2014-01-30,2014,"100,000"
AbbeyPost,/organization/abbeypost,E-Commerce,USA,CA,San Mateo,seed,2014-07-11,2014,"425,000"
AbCelex Technologies,/organization/abcelex-technologies,Biotechnology,CAN,ON,Mississauga,A,2014-04-28,2014,"2,000,000"
Abd el rahman Sheta,/organization/associatedcontent,Curated Web,USA,CO,Denver,A,2006-01-01,2006,"5,400,000"
Abd el rahman Sheta,/organization/associatedcontent,Curated Web,USA,CO,Denver,B,2007-07-01,2007,"10,000,000"
Abd el rahman Sheta,/organization/associatedcontent,Curated Web,USA,CO,Denver,C,2009-04-28,2009,"6,000,000"
Abe's Market,/organization/abes-market,E-Commerce,USA,IL,Chicago,A,2011-02-10,2011,"3,400,000"
Abe's Market,/organization/abes-market,E-Commerce,USA,IL,Chicago,B,2013-01-17,2013,"5,000,000"
Abe's Market,/organization/abes-market,E-Commerce,USA,IL,Chicago,venture,2014-02-07,2014,"10,000,000"
abeo,/organization/abeo,Health Care,USA,TX,Dallas,venture,2011-11-30,2011,"2,012,700"
Abeona Therapeutics,/organization/abeona-therapeutics,Biotechnology,USA,OH,Cleveland,seed,2013-12-16,2013,"750,000"
Abeona Therapeutics,/organization/abeona-therapeutics,Biotechnology,USA,OH,Cleveland,venture,2014-12-01,2014,"3,600,000"
AbGenomics,/organization/abgenomics,Biotechnology,USA,CA,Los Altos,A,2012-06-19,2012,"16,850,000"
AbGenomics,/organization/abgenomics,Biotechnology,USA,CA,Los Altos,B,2013-07-18,2013,"9,600,000"
AbGenomics,/organization/abgenomics,Biotechnology,USA,CA,Los Altos,C,2014-08-27,2014,"13,160,000"
Abide Therapeutics,/organization/abide-therapeutics,Biotechnology,USA,NJ,Princeton,seed,2011-11-18,2011,"2,250,180"
Ability Dynamics,/organization/ability-dynamics,Health Care,USA,AZ,Tempe,seed,2012-02-20,2012,"1,500,000"
ABILITY Network,/organization/ability-network,Health Care,USA,MN,Minneapolis,venture,2006-12-14,2006,"1,000,000"
ABILITY Network,/organization/ability-network,Health Care,USA,MN,Minneapolis,venture,2007-01-01,2007,"5,000,000"
ABILITY Network,/organization/ability-network,Health Care,USA,MN,Minneapolis,C,2011-05-17,2011,"27,000,000"
AbilTo,/organization/abilto,Health and Wellness,USA,NY,New York,A,2013-05-14,2013,"3,000,000"
AbilTo,/organization/abilto,Health and Wellness,USA,NY,New York,B,2014-03-18,2014,"6,000,000"
Abine,/organization/abine,Curated Web,USA,MA,Boston,A,2011-07-12,2011,"6,467,283"
Abiquo Group,/organization/abiquo-group,Software,USA,CA,Redwood City,venture,2010-12-09,2010,"6,372,177"
Abiquo Group,/organization/abiquo-group,Software,USA,CA,Redwood City,venture,2012-06-28,2012,"3,000,000"
Abiquo Group,/organization/abiquo-group,Software,USA,CA,Redwood City,venture,2013-04-10,2013,"3,758,560"
Abiquo Group,/organization/abiquo-group,Software,USA,CA,Redwood City,venture,2014-03-12,2014,"1,000,000"
aBIZinaBOX,/organization/abizinabox,Accounting,USA,IL,Evanston,seed,2008-10-08,2008,"500,000"
Ablative Solutions,/organization/ablative-solutions,Biotechnology,USA,MI,Kalamazoo,A,2012-06-19,2012,"5,300,000"
Ablative Solutions,/organization/ablative-solutions,Biotechnology,USA,MI,Kalamazoo,B,2014-02-04,2014,"9,575,077"
Ablative Solutions,/organization/ablative-solutions,Biotechnology,USA,MI,Kalamazoo,venture,2015-01-12,2015,"14,590,000"
Able Planet,/organization/able-planet,Hardware + Software,USA,CO,Wheat Ridge,B,2009-08-17,2009,"5,324,000"
Able Planet,/organization/able-planet,Hardware + Software,USA,CO,Wheat Ridge,venture,2009-09-24,2009,"2,531,750"
Able Planet,/organization/able-planet,Hardware + Software,USA,CO,Wheat Ridge,venture,2010-04-23,2010,"150,000"
Able Planet,/organization/able-planet,Hardware + Software,USA,CO,Wheat Ridge,venture,2011-05-27,2011,"2,999,698"
Able Planet,/organization/able-planet,Hardware + Software,USA,CO,Wheat Ridge,venture,2012-02-01,2012,"1,000,000"
AbleSky,/organization/ablesky,Software,USA,CA,Mountain View,venture,2011-06-29,2011,"1,273,000"
Ablexis,/organization/ablexis,Biotechnology,USA,CA,San Francisco,A,2010-06-04,2010,"12,000,000"
ABO Data,/organization/abo-data,Enterprise Software,USA,TX,Italy,seed,1979-01-01,1979,"1,000,000"
abode,/organization/abode,Home Owners,USA,CA,Palo Alto,seed,2014-10-01,2014,"600,000"
ABODO,/organization/abodo,Search,USA,WI,Madison,seed,2013-05-17,2013,"325,000"
ABODO,/organization/abodo,Search,USA,WI,Madison,A,2014-07-30,2014,"1,250,000"
about.me,/organization/aboutme,Identity Management,USA,CA,San Francisco,venture,2009-12-22,2009,"412,500"
about.me,/organization/aboutme,Identity Management,USA,CA,San Francisco,A,2013-02-05,2013,"5,675,000"
about.me,/organization/aboutme,Identity Management,USA,CA,San Francisco,B,2014-06-10,2014,"11,000,000"
AboutOne,/organization/aboutone,Curated Web,USA,PA,Paoli,seed,2011-05-01,2011,"100,000"
AboutOne,/organization/aboutone,Curated Web,USA,PA,Paoli,A,2011-12-01,2011,"1,800,000"
AboutOne,/organization/aboutone,Curated Web,USA,PA,Paoli,venture,2013-10-09,2013,"1,794,003"
AboutUs.org,/organization/aboutus-org,Curated Web,USA,OR,Portland,venture,2008-11-26,2008,"3,918,249"
AboutUs.org,/organization/aboutus-org,Curated Web,USA,OR,Portland,A,2009-01-09,2009,"2,500,000"
AboutUs.org,/organization/aboutus-org,Curated Web,USA,OR,Portland,venture,2009-07-16,2009,"1,200,000"
Above All Software,/organization/above-all-software,Software,USA,CA,Redwood City,venture,2005-06-01,2005,"2,100,000"
ABOVE Solutions,/organization/above-solutions,Software,USA,MA,Lexington,venture,2011-08-16,2011,"450,000"
ABPathfinder,/organization/abpathfinder,Health and Wellness,USA,KS,Overland Park,A,2012-12-05,2012,"400,000"
ABPathfinder,/organization/abpathfinder,Health and Wellness,USA,KS,Overland Park,venture,2013-11-25,2013,"560,000"
ABPathfinder,/organization/abpathfinder,Health and Wellness,USA,KS,Overland Park,A,2014-11-26,2014,"1,850,000"
ABS,/organization/abs,Health Care,USA,MN,Minnetonka,venture,2012-09-19,2012,"132,500"
Absio,/organization/iphase3,Software,USA,CO,Littleton,venture,2010-05-06,2010,"997,346"
Absio,/organization/iphase3,Software,USA,CO,Littleton,venture,2011-05-08,2011,"260,000"
Absio,/organization/iphase3,Software,USA,CO,Littleton,venture,2014-12-05,2014,"4,746,895"
ABSMaterials,/organization/absmaterials,Clean Technology,USA,OH,Wooster,A,2010-06-24,2010,"250,000"
ABSMaterials,/organization/absmaterials,Clean Technology,USA,OH,Wooster,B,2013-11-24,2013,"4,000,000"
AbsolutData,/organization/absolutdata,Analytics,USA,CA,Alameda,venture,2012-08-23,2012,"20,000,000"
Absolute Commerce,/organization/absolute-commerce,Software,USA,RI,Providence,seed,2014-05-09,2014,"200,000"
Absorption Pharmaceuticals,/organization/absorption-pharmaceuticals,Biotechnology,USA,CA,Huntington Beach,venture,2014-02-14,2014,"1,200,000"
ABT Molecular Imaging,/organization/abt-molecular-imaging,Health Care,USA,TN,Knoxville,venture,2009-10-06,2009,"6,000,000"
ABT Molecular Imaging,/organization/abt-molecular-imaging,Health Care,USA,TN,Knoxville,A,2010-01-21,2010,"9,000,000"
ABT Molecular Imaging,/organization/abt-molecular-imaging,Health Care,USA,TN,Knoxville,venture,2011-06-29,2011,"4,013,808"
ABT Molecular Imaging,/organization/abt-molecular-imaging,Health Care,USA,TN,Knoxville,C,2012-09-13,2012,"6,000,000"
Acacia Communications,/organization/acacia-communications,Web Hosting,USA,MA,Maynard,A,2013-05-15,2013,"20,000,000"
Acacia Interactive,/organization/acacia-interactive,Software,USA,TN,Nashville,seed,2013-03-29,2013,"762,000"
Acacia Living,/organization/acacia-living,Health and Wellness,USA,AZ,Scottsdale,venture,2013-12-11,2013,"2,338,650"
Acacia Research,/organization/acacia-research,Finance,USA,CA,Newport Beach,venture,2005-02-10,2005,"19,600,000"
Academia RFID,/organization/academia-rfid,Consulting,CAN,QC,Montréal,A,2012-07-30,2012,"4,499,999"
Academia.edu,/organization/academia-edu,Social Media,USA,CA,San Francisco,seed,2007-11-02,2007,"600,000"
Academia.edu,/organization/academia-edu,Social Media,USA,CA,San Francisco,angel,2010-04-28,2010,"1,600,000"
Academia.edu,/organization/academia-edu,Social Media,USA,CA,San Francisco,A,2011-11-30,2011,"4,500,000"
Academia.edu,/organization/academia-edu,Social Media,USA,CA,San Francisco,B,2013-09-26,2013,"11,100,000"
AcademixDirect,/organization/academix-direct-go-internet-media,Advertising,USA,CA,Menlo Park,A,2009-01-01,2009,"10,000,000"
Academy123,/organization/academy123,Education,USA,CA,Westlake Village,A,2004-08-01,2004,"2,000,000"
ACADIA Pharmaceuticals,/organization/acadia-pharmaceuticals,Biotechnology,USA,CA,San Diego,venture,2011-01-11,2011,"15,000,000"
AcadiaSoft,/organization/acadiasoft,Finance,USA,MA,Pembroke,venture,2010-01-08,2010,"4,000,000"
Acccess Technology Solutions,/organization/acccess-technology-solutions,E-Commerce,USA,UT,Provo,venture,2014-08-20,2014,"25,478,613"
Accedian Networks,/organization/accedian-networks,Mobile,CAN,QC,Montréal,A,2006-03-09,2006,"4,000,000"
Accedian Networks,/organization/accedian-networks,Mobile,CAN,QC,Montréal,B,2008-02-14,2008,"7,540,000"
Accedian Networks,/organization/accedian-networks,Mobile,CAN,QC,Montréal,C,2010-08-04,2010,"19,500,000"
AcceleCare Wound Centers,/organization/accelecare,Medical,USA,WA,Bellevue,B,2007-12-11,2007,"3,500,000"
Accelera,/organization/accelera,Mobile,USA,CA,Santa Clara,A,2013-05-03,2013,"3,033,472"
Accelerate Diagnostics,/organization/accelerate-diagnostics,Health Care,USA,AZ,Tucson,venture,2010-03-23,2010,"275,000"
Accelerate Diagnostics,/organization/accelerate-diagnostics,Health Care,USA,AZ,Tucson,venture,2012-07-17,2012,"14,420,000"
Accelerate Diagnostics,/organization/accelerate-diagnostics,Health Care,USA,AZ,Tucson,venture,2013-08-26,2013,"3,321,244"
Accelerate Mobile Apps,/organization/accelerate-mobile-apps,Mobile,USA,CA,Scotts Valley,venture,2009-12-24,2009,"150,000"
Accelerated IO,/organization/accelerated-io,Software,USA,OK,Tulsa,venture,2009-11-05,2009,"3,000,000"
Accelerated IO,/organization/accelerated-io,Software,USA,OK,Tulsa,venture,2012-03-28,2012,"255,325"
Accelerated Orthopedic Technologies,/organization/accelerated-orthopedic-technologies,Health Care,USA,CT,Guilford,seed,2012-05-18,2012,"150,000"
Accelerated Vision Group,/organization/accelerated-vision-group,Analytics,USA,KS,Overland Park,A,2012-05-21,2012,"6,000,000"
Accelerated Vision Group,/organization/accelerated-vision-group,Analytics,USA,KS,Overland Park,venture,2013-10-25,2013,"2,500,000"
Accelergy,/organization/accelergy,Technology,USA,TX,Houston,venture,2006-12-01,2006,"8,330,000"
Accelerize New Media,/organization/accelerize-new-media,Enterprise Software,USA,CA,Los Angeles,venture,2010-10-26,2010,"300,000"
Accelerize New Media,/organization/accelerize-new-media,Enterprise Software,USA,CA,Los Angeles,venture,2010-05-10,2010,"745,500"
Acceleron Pharma,/organization/acceleron-pharma,Biotechnology,USA,MA,Cambridge,B,2006-08-02,2006,"30,000,000"
Acceleron Pharma,/organization/acceleron-pharma,Biotechnology,USA,MA,Cambridge,C,2007-10-01,2007,"31,000,000"
Acceleron Pharma,/organization/acceleron-pharma,Biotechnology,USA,MA,Cambridge,venture,2009-12-15,2009,"10,951,121"
Acceleron Pharma,/organization/acceleron-pharma,Biotechnology,USA,MA,Cambridge,venture,2010-06-10,2010,"10,250,006"
Acceleron Pharma,/organization/acceleron-pharma,Biotechnology,USA,MA,Cambridge,F,2011-12-23,2011,"30,000,000"
AccelGolf,/organization/accelgolf,Finance,USA,MA,Cambridge,venture,2009-12-04,2009,"150,000"
Accelitec,/organization/accelitec,Software,USA,WA,Bellingham,venture,2009-05-15,2009,"4,605,841"
Accellion,/organization/accellion,Enterprise Software,USA,CA,Palo Alto,C,2012-01-04,2012,"12,000,000"
Accellion,/organization/accellion,Enterprise Software,USA,CA,Palo Alto,seed,2012-03-09,2012,"1,410,901"
Accellos,/organization/accellos,Transportation,USA,CO,Colorado Springs,B,2008-09-30,2008,"28,500,000"
AccelOne,/organization/accelone,Software,USA,WA,Kirkland,venture,2014-04-29,2014,"225,000"
AccelOps,/organization/accelops,Cloud Management,USA,CA,Santa Clara,A,2007-10-01,2007,"7,000,000"
AccelOps,/organization/accelops,Cloud Management,USA,CA,Santa Clara,B,2012-05-01,2012,"18,000,000"
Accend,/organization/drill-map,Software,USA,TX,Austin,A,2012-11-19,2012,"679,849"
Accend,/organization/drill-map,Software,USA,TX,Austin,A,2013-08-07,2013,"6,500,000"
Accentia Biopharmaceuticals Inc,/organization/accentia-biopharmaceuticals-inc,Biotechnology,USA,FL,Tampa,venture,2012-02-08,2012,"400,000"
Accentia Biopharmaceuticals Inc,/organization/accentia-biopharmaceuticals-inc,Biotechnology,USA,FL,Tampa,venture,2013-06-25,2013,"375,000"
Accept Software,/organization/accept-software,Career Management,USA,CA,Santa Clara,A,2005-09-16,2005,"1,055,000"
Accept Software,/organization/accept-software,Career Management,USA,CA,Santa Clara,venture,2006-07-27,2006,"4,250,000"
Accept Software,/organization/accept-software,Career Management,USA,CA,Santa Clara,B,2009-09-16,2009,"17,000,000"
Accept Software,/organization/accept-software,Career Management,USA,CA,Santa Clara,C,2010-12-14,2010,"3,000,000"
Acceptd,/organization/acceptd,Software,USA,OH,Dublin,A,2011-11-16,2011,"2,000,000"
Acceptd,/organization/acceptd,Software,USA,OH,Dublin,A,2013-06-13,2013,"1,000,000"
Accera,/organization/accera,Biotechnology,USA,CO,Broomfield,A,2004-09-16,2004,"6,000,000"
Accera,/organization/accera,Biotechnology,USA,CO,Broomfield,B,2006-08-16,2006,"7,500,000"
Accera,/organization/accera,Biotechnology,USA,CO,Broomfield,C,2008-11-12,2008,"35,000,000"
Accera,/organization/accera,Biotechnology,USA,CO,Broomfield,D,2011-01-03,2011,"11,000,000"
Accertify,/organization/accertify,Security,USA,IL,Itasca,A,2008-06-03,2008,"4,000,000"
Accertify,/organization/accertify,Security,USA,IL,Itasca,B,2009-06-06,2009,"2,431,124"
Accertify,/organization/accertify,Security,USA,IL,Itasca,venture,2010-05-04,2010,"700,000"
Access Closure,/organization/access-closure,Health Care,USA,CA,Mountain View,venture,2010-03-03,2010,"9,999,998"
Access Closure,/organization/access-closure,Health Care,USA,CA,Mountain View,venture,2012-01-01,2012,"2,795,000"
Access Closure,/organization/access-closure,Health Care,USA,CA,Mountain View,venture,2012-10-01,2012,"998,100"
