name,crunchlink,category,country,state,city,round,date,year,money,
7mb Technologies,/organization/7mb-technologies,Software,USA,WA,Seattle,venture,2013-10-28,2013,"350,075"
7mb Technologies,/organization/7mb-technologies,Software,USA,WA,Seattle,venture,2014-07-21,2014,"110,700"
7signal Solutions,/organization/7signal-solutions,Web Hosting,USA,OH,Akron,A,2011-01-01,2011,"2,000,000"
7signal Solutions,/organization/7signal-solutions,Web Hosting,USA,OH,Akron,A,2012-05-11,2012,"3,600,000"
7signal Solutions,/organization/7signal-solutions,Web Hosting,USA,OH,Akron,B,2013-10-15,2013,"4,000,000"
7signal Solutions,/organization/7signal-solutions,Web Hosting,USA,OH,Akron,venture,2013-07-11,2013,"250,000"
7Summits,/organization/7summits,SEO,USA,WI,Milwaukee,seed,2010-01-01,2010,"600,000"
8 Inc.,/organization/8-inc,Shared Services,USA,NY,New York,seed,2013-07-01,2013,"1,400,000"
8 Inc.,/organization/8-inc,Shared Services,USA,NY,New York,seed,2014-08-01,2014,"3,100,000"
80/20 Solutions,/organization/80-20-solutions,Social Media,CAN,ON,Toronto,venture,2009-08-07,2009,"2,100,000"
800razors,/organization/800razors,E-Commerce,USA,MD,Southern Md Facility,A,2013-02-19,2013,"100,000"
80th Street Residence FACC Fund I,/organization/80th-street-residence-facc-fund-i,Health and Wellness,USA,CA,Newport Beach,venture,2011-11-18,2011,"5,100,000"
818 Sports & Entertainment,/organization/818-sports-entertainment,Entertainment,USA,NY,New York,A,2013-05-30,2013,"25,000,000"
818 Sports & Entertainment,/organization/818-sports-entertainment,Entertainment,USA,NY,New York,seed,2013-03-15,2013,"2,000,000"
8218 West Third,/organization/8218-west-third,Beauty,USA,CA,Los Angeles,venture,2006-02-20,2006,"400,000"
8D World,/organization/8dworld,Virtual Worlds,USA,MA,Woburn,A,2008-03-01,2008,"7,000,000"
8D World,/organization/8dworld,Virtual Worlds,USA,MA,Woburn,B,2010-12-09,2010,"5,250,000"
8fit - Fitness for the rest of us,/organization/8fit-fitness-for-the-rest-of-us,Tracking,USA,CA,Palo Alto,seed,2014-06-30,2014,"200,000"
8minutenergy Renewables,/organization/8minutenergy-renewables,Clean Technology,USA,CA,Folsom,venture,2014-06-17,2014,"30,000,000"
8thBridge,/organization/alvenda-inc,E-Commerce,USA,MN,Minneapolis,angel,2009-11-16,2009,"590,000"
8thBridge,/organization/alvenda-inc,E-Commerce,USA,MN,Minneapolis,A,2010-01-25,2010,"5,000,000"
8thBridge,/organization/alvenda-inc,E-Commerce,USA,MN,Minneapolis,B,2011-03-21,2011,"10,000,000"
8tracks Radio,/organization/8tracks,Music,USA,CA,San Francisco,seed,2012-10-26,2012,"1,500,000"
8tracks Radio,/organization/8tracks,Music,USA,CA,San Francisco,venture,2014-08-28,2014,"1,279,980"
9+,/organization/9-plus-studio,Consulting,USA,CA,Menlo Park,angel,2013-09-03,2013,"2,500,000"
